"Central Cabarrus High School","US","NC","Concord","http://www.cabarrus.k12.nc.us/central/"
"Perry High School","US","GA","Perry",""
"Altoona Area High School","US","PA","Altoona",""
"Cayuga Community College","US","NY","Auburn","http://www.cayuga-cc.edu"
"Bishop O'Hara High School","US","PA","Dunmore",""
"Shelton State Community College","US","AL","Tuscaloosa","http://www.sheltonstate.edu/sscc/"
"Nouvel Catholic Central High School","US","MI","Saginaw","http://www.nouvel.org"
"Fordham University","US","NY","Bronx","http://www.fordham.edu"
"Pittsford Mendon High School","US","NY","Pittsford","http://pittsford.monroe.edu/pittsfordmendon/"
"Fontbonne University","US","MO","St. Louis","http://www.fontbonne.edu"
"Fauquier High School","US","VA","Warrenton",""
"Woodrow Wilson High School","US","CA","Long Beach",""
"Miami Beach High School","US","FL","Miami Beach",""
"North Delta Senior Secondary","CA","Bc","North Delta",""
"Burrell High School","US","PA","Lower Burrell",""
"National Taiwan University","TW","","Taipei","http://www.ntu.edu.tw"
"Rock Springs High School","US","WY","Rock Springs",""
"Sandy Creek High School","US","GA","Tyrone",""
"Lackey High School","US","MD","Indian Head","http://www.ccboe.com/lackey/"
"Allen D. Nease High School","US","FL","Ponte Vedra Beach",""
"Wareham High School","US","MA","Wareham","http://www.wareham.mec.edu:7300/whs/"
"Marietta College","US","OH","Marietta","http://www.marietta.edu/"
"Trinity High School","US","PA","Washington",""
"Champlain Valley Union High School","US","VT","Hinesburg",""
"Schenley High School","US","PA","Pittsburgh","http://schenleyhs.net"
"Chancellor High School","US","VA","Fredericksburg","http://www.spotsylvania.k12.va.us/chhs/"
"Hazard High School","US","KY","Hazard",""
"Port Hope High School","CA","On","Port Hope",""
"New Paltz Central High School","US","NY","New Paltz",""
"Broadneck High School","US","MD","Annapolis",""
"Olympic High School","US","WA","Silverdale","http://olhs.cksd.wednet.edu/"
"Barbara Goleman High School","US","FL","Miami","http://www.dade.k12.fl.us/goleman/"
"Southridge High School","US","OR","Beaverton","http://www.beaverton.k12.or.us/southridge/"
"Indiana Area High School","US","PA","Indiana","http://www.iasd.cc/Junior%20High.htm"
