38 /img/mood/kanji/gloomy.gif 18 18
39 /img/mood/kanji/melancholy.gif 18 18
42 /img/mood/kanji/relieved.gif 18 18
43 /img/mood/kanji/hopeful.gif 18 18
44 /img/mood/kanji/amused.gif 18 18
45 /img/mood/kanji/determined.gif 18 18
46 /img/mood/kanji/scared.gif 18 18
48 /img/mood/kanji/indescribable.gif 18 18
49 /img/mood/kanji/sleepy.gif 18 18
58 /img/mood/kanji/peaceful.gif 18 18
6 /img/mood/kanji/confused.gif 18 18
61 /img/mood/kanji/okay.gif 18 18
64 /img/mood/kanji/content.gif 18 18
65 /img/mood/kanji/indifferent.gif 18 18
66 /img/mood/kanji/silly.gif 18 18
68 /img/mood/kanji/calm.gif 18 18
78 /img/mood/kanji/exanimate.gif 18 18
79 /img/mood/kanji/embarrassed.gif 18 18
80 /img/mood/kanji/envious.gif 18 18
82 /img/mood/kanji/sick.gif 18 18
83 /img/mood/kanji/hot.gif 18 18
84 /img/mood/kanji/cold.gif 18 18
86 /img/mood/kanji/loved.gif 18 18
87 /img/mood/kanji/awake.gif 18 18
88 /img/mood/kanji/working.gif 18 18
89 /img/mood/kanji/productive.gif 18 18
90 /img/mood/kanji/accomplished.gif 18 18
91 /img/mood/kanji/busy.gif 18 18
96 /img/mood/kanji/weird.gif 18 18
MOODTHEME Kanji Moods - White : A bunch of moods in kanji for use on dark backgrounds by Pne
1 /img/mood/kanji-white/aggravated.gif 18 18
102 /img/mood/kanji-white/nerdy.gif 18 18
106 /img/mood/kanji-white/crazy.gif 18 18
107 /img/mood/kanji-white/creative.gif 18 18
108 /img/mood/kanji-white/artistic.gif 18 18
11 /img/mood/kanji-white/energetic.gif 18 18
111 /img/mood/kanji-white/guilty.gif 18 18
112 /img/mood/kanji-white/irritated.gif 18 18
113 /img/mood/kanji-white/blank.gif 18 18
114 /img/mood/kanji-white/apathetic.gif 18 18
119 /img/mood/kanji-white/dirty.gif 18 18
121 /img/mood/kanji-white/surprised.gif 18 18
125 /img/mood/kanji-white/cheerful.gif 18 18
126 /img/mood/kanji-white/good.gif 18 18
13 /img/mood/kanji-white/enthralled.gif 18 18
130 /img/mood/kanji-white/devious.gif 18 18
131 /img/mood/kanji-white/thankful.gif 18 18
132 /img/mood/kanji-white/grateful.gif 18 18
133 /img/mood/kanji-white/jealous.gif 18 18
15 /img/mood/kanji-white/happy.gif 18 18
17 /img/mood/kanji-white/horny.gif 18 18
18 /img/mood/kanji-white/hungry.gif 18 18
2 /img/mood/kanji-white/angry.gif 18 18
22 /img/mood/kanji-white/lonely.gif 18 18
